manuscript_id,title,filename,matches,mismatches
F154A,"She died - this was the way she died",233.tei,"",""
F1451B,"No passenger was known to flee",1980.tei,"(F1451C,No passenger was known to flee,1981.tei)|(F1451A,No passenger was known to flee,1979.tei)",""
F1314B,"Because that you are going",1758.tei,"(F1314C,Because that you are going,1760.tei)|(F1314C,Because that you are going,1760.tei)",""
F1639B,"Few yet enough",2279.tei,"",""
F1521B,"The face in evanescence lain",2090.tei,"(F1521A,The face in evanescence lain,2089.tei)",""
F920A,"Each scar I'll keep for him",1228.tei,"",""
F1183D,"Because he loves her",1566.tei,"",""
F66B,"Baffled for just a day or two",93.tei,"(F66A,Baffled for just a day or two,92.tei)",""
F442B,"I see thee better in the dark",623.tei,"",""
F1544B,"An antiquated tree",2127.tei,"",""
F1547B,"His little hearse like figure",2133.tei,"",""
F590A,"No romance sold unto",810.tei,"",""
F1036A,"The products of my farm are these",1374.tei,"",""
F1067A,"Crisis is a hair",1406.tei,"",""
F1022C,"A bold, inspiriting bird is the jay",1360.tei,"","(F1022B,A prompt - executive bird is the jay,1359.tei)"
F1357C,"Pink - small - and punctual",1823.tei,"(F1357B,Pink - small - and punctual,1822.tei)",""
F236A,"Some keep the Sabbath going to church",347.tei,"",""
F1774A,"A face devoid of love or grace",2443.tei,"",""
F1671B,"Take all away from me but leave me ecstasy",2331.tei,"",""
F1216B,"A wind that rose though not a leaf",1610.tei,"(F1216A,A wind that rose though not a leaf,1609.tei)|(F1216A,A wind that rose though not a leaf,1609.tei)",""
F1213A,"Like trains of cars on tracks of plush",1604.tei,"",""
F1216C,"A wind that rose though not a leaf",1611.tei,"",""
F1786B,"Which misses most",2456.tei,"(F1786A,Which misses most,2455.tei)",""
F1773A,"My life closed twice before it's close",2442.tei,"",""
F1357B,"Pink - small - and punctual",1822.tei,"(F1357C,Pink - small - and punctual,1823.tei)|(F1357A,Pink - small - and punctual,1821.tei)|(F1357D,Pink - small - and punctual,1824.tei)",""
F1068A,"Under the light yet under",1407.tei,"",""
F128B,"Going to heaven!",193.tei,"",""
F1023A,"Too scanty 'twas to die for you",1361.tei,"",""
F56A,"I've got an arrow here",79.tei,"",""
F1037A,"The dying need but little, dear",1375.tei,"",""
F1074A,"What did they do since I saw them?",1413.tei,"",""
F2B,"Sic transit gloria mundi",3.tei,"",""
F585A,"If ever the lid gets off my head",805.tei,"",""
F66A,"Baffled for just a day or two",92.tei,"(F66B,Baffled for just a day or two,93.tei)",""
F896A,"Purple is fashionable twice",1201.tei,"",""
F1184A,"We introduce ourselves",1567.tei,"",""
F921A,"Snow beneath whose chilly softness",1229.tei,"",""
F1318A,"Our little secrets slink away",1765.tei,"",""
F1456B,"Could mortal lip divine",1995.tei,"",""
F1314C,"Because that you are going",1760.tei,"(F1314B,Because that you are going,1758.tei)|(F1314B,Because that you are going,1758.tei)",""
F1451C,"No passenger was known to flee",1981.tei,"(F1451B,No passenger was known to flee,1980.tei)",""
F153B,""Sown in dishonor"!",232.tei,"",""
F1641G,"Though the great waters sleep",2287.tei,"(F1641E,Though the great waters sleep,2285.tei)",""
F1644B,"Sunset that screens reveals",2293.tei,"",""
F401A,"Dare you see a soul at the "White Heat"?",568.tei,"",""
F1641E,"Though the great waters sleep",2285.tei,"(F1641G,Though the great waters sleep,2287.tei)",""
F1425A,"They might not need me, yet they might",1940.tei,"(F1425B,They might not need me, yet they might,1941.tei)",""
F148A,"Will there really be a "morning"?",224.tei,"",""
F152A,"'Twas such a little - little boat",230.tei,"",""
F1624A,"Pass to thy rendezvous of light",2252.tei,"(F1624B,Pass to thy rendezvous of light,2253.tei)",""
F1453A,"She laid her docile crescent down",1983.tei,"","(F1453B,He laid his docile crescent down,1984.tei)"
F1491A,"To see the summer sky",2050.tei,"",""
F64A,"Heart! We will forget him!",90.tei,"",""
F1049A,"Myself can read the telegrams",1388.tei,"",""
F60A,"If she had been the mistletoe",84.tei,"(F60B,If she had been the mistletoe,85.tei)",""
F107A,"Many cross the Rhine",152.tei,"",""
F103A,"My friend attacks my friend!",146.tei,"",""
F440B,"I years had been from home",620.tei,"",""
F35B,"Sleep is supposed to be",53.tei,"",""
F1A,"Awake ye muses nine, sing me a strain divine",1.tei,"",""
F1095A,"When I have seen the sun emerge",1439.tei,"",""
F1542B,"Drowning is not so pitiful",2124.tei,"",""
F1066A,"Death leaves us homesick, who behind",1405.tei,"",""
F1539B,"Mine enemy is growing old",2118.tei,"(F1539C,Mine enemy is growing old,2119.tei)|(F1539A,Mine enemy is growing old,2117.tei)",""
F1356C,"A little madness in the spring",1820.tei,"(F1356B,A little madness in the spring,1819.tei)",""
F1364B,"Escape is such a thankful word",1834.tei,"",""
F287B,"While it is alive",422.tei,"",""
F1771A,"'Twas here my summer paused",2440.tei,"",""
F1667A,"Parting with thee reluctantly",2326.tei,"",""
F1217A,"I worked for chaff and earning wheat",1613.tei,"",""
F1772A,"Softened by time's consummate plush",2441.tei,"",""
F1786A,"Which misses most",2455.tei,"(F1786B,Which misses most,2456.tei)",""
F1357A,"Pink - small - and punctual",1821.tei,"(F1357B,Pink - small - and punctual,1822.tei)|(F1357D,Pink - small - and punctual,1824.tei)",""
F1539C,"Mine enemy is growing old",2119.tei,"(F1539B,Mine enemy is growing old,2118.tei)|(F1539A,Mine enemy is growing old,2117.tei)",""
F1024A,"Did we abolish frost",1362.tei,"",""
F126A,"I bring an unaccustomed wine",190.tei,"",""
F1094A,"We outgrow love like other things",1438.tei,"",""
F60B,"If she had been the mistletoe",85.tei,"(F60A,If she had been the mistletoe,84.tei)",""
F909A,"Because the bee may blameless hum",1216.tei,"",""
F1522A,"A dimple in the tomb",2092.tei,"",""
F1624B,"Pass to thy rendezvous of light",2253.tei,"(F1624A,Pass to thy rendezvous of light,2252.tei)",""
F1619A,"We wear our sober dresses when we die",2247.tei,"",""
F1441B,"How lonesome the wind must feel nights",1969.tei,"",""
F149A,"Great Caesar! Condescend",225.tei,"",""
F1643A,"We send the wave to find the wave",2290.tei,"",""
F1425B,"They might not need me, yet they might",1941.tei,"(F1425A,They might not need me, yet they might,1940.tei)",""
F1433A,"What mystery pervades a well!",1955.tei,"",""
F144B,"I never hear the word "Escape"",219.tei,"",""
F1641D,"Though the great waters sleep",2284.tei,"(F1641B,Though the great waters sleep,2282.tei)",""
F155B,"If pain for peace prepares",235.tei,"",""
F1451A,"No passenger was known to flee",1979.tei,"(F1451B,No passenger was known to flee,1980.tei)",""
F1427A,"Whose pink career may have a close",1945.tei,"",""
F1191A,"Lest any doubt that we are glad that they were born today",1574.tei,"",""
F572B,"The day came slow till five o'clock",786.tei,"(F572C,The day came slow till five o'clock,787.tei)",""
F1180C,"The riddle that we guess",1560.tei,"",""
F111A,"Artists wrestled here!",157.tei,"",""
F67B,"Delayed till she had ceased to know",95.tei,"",""
F1061A,"This chasm, Sweet, opon my life",1400.tei,"",""
F1535A,"She could not live upon the past",2109.tei,"",""
F1540C,"My country need not change her gown",2121.tei,"",""
F1356B,"A little madness in the spring",1819.tei,"(F1356C,A little madness in the spring,1820.tei)",""
F1211A,"It's hour with itself",1602.tei,"",""
F1219B,"Who goes to dine must take his feast",1616.tei,"",""
F1782A,"How dare the robins sing",2451.tei,"",""
F1775A,"Upon the gallows hung a wretch",2444.tei,"",""
F1781A,"The distance that the dead have gone",2450.tei,"",""
F273B,"Perhaps you think me stooping",397.tei,"",""
F1212A,"My triumph lasted till the drums",1603.tei,"",""
F1357D,"Pink - small - and punctual",1824.tei,"(F1357B,Pink - small - and punctual,1822.tei)|(F1357A,Pink - small - and punctual,1821.tei)",""
F1086B,"Nature rarer uses yellow",1429.tei,"",""
F1035A,"So large my will",1373.tei,"",""
F1181A,"Experiment escorts us last",1561.tei,"",""
F572C,"The day came slow till five o'clock",787.tei,"(F572B,The day came slow till five o'clock,786.tei)",""
F1339A,"From his slim palace in the dust",1788.tei,"",""
F145A,"A little over Jordan",220.tei,"",""
F156A,"Surgeons must be very careful",236.tei,"",""
F1647B,"Not knowing when herself may come",2297.tei,"",""
F1641C,"Though the great waters sleep",2283.tei,"",""
F1634A,"Each that we lose takes part of us",2268.tei,"",""
F1625A,"Expanse cannot be lost",2254.tei,"",""
F1307A,"Warm in her hand these accents lie",1749.tei,"",""
F1199A,"A soft sea washed around the house",1588.tei,"",""
F904A,"Absence disembodies - so does death",1211.tei,"",""
F1497A,"It stole along so stealthy",2056.tei,"",""
F1033A,"I knew that I had gained",1371.tei,"",""
F1027A,"To die without the dying",1365.tei,"",""
F1064A,"As the starved maelstrom laps the navies",1403.tei,"",""
F1541A,"Birthday of but a single pang",2122.tei,"",""
F37A,"By chivalries as tiny",55.tei,"",""
F1022B,"A prompt - executive bird is the jay",1359.tei,"","(F1022C,A bold, inspiriting bird is the jay,1360.tei)"
F895D,"Further in summer than the birds",1198.tei,"(F895C,Further in summer than the birds,1197.tei)",""
F1655A,"Talk not to me of summer trees",2308.tei,"",""
F1210A,"Some we see no more, tenements of wonder",1601.tei,"",""
F1777A,"To lose thee sweeter than to gain",2446.tei,"",""
F1665B,"The farthest thunder that I heard",2320.tei,"",""
F1783A,"Death is like the insect",2452.tei,"",""
F1784A,"The grave my little cottage is",2453.tei,"",""
F1778A,"High from the earth I heard a bird",2447.tei,"",""
F1209A,"Somehow myself survived the night",1600.tei,"",""
F1656A,"The sun in reining to the west",2309.tei,"",""
F4A,"I have a bird in spring",6.tei,"",""
F1551A,"'Tis seasons since the dimpled war",2137.tei,"",""
F1077A,"A cloud withdrew from the sky",1416.tei,"",""
F1032A,"Far from love the Heavenly Father",1370.tei,"",""
F69A,"Within my reach!",97.tei,"",""
F118A,"Talk with prudence to a beggar",169.tei,"",""
F1498A,"Time's wily chargers will not wait",2057.tei,"",""
F903A,"A doubt if it be us",1210.tei,"",""
F1193A,"White as an Indian pipe",1576.tei,"",""
F1182A,"Too happy time dissolves itself",1562.tei,"",""
F1453B,"He laid his docile crescent down",1984.tei,"","(F1453A,She laid her docile crescent down,1983.tei)"
F1626A,"Climbing to reach the costly hearts",2255.tei,"",""
F1641B,"Though the great waters sleep",2282.tei,"(F1641D,Though the great waters sleep,2284.tei)",""
F157A,"I have a king who does not speak",237.tei,"",""
F167A,"I'm the little "Heart's Ease"!",250.tei,"",""
F1609A,"Who has not found the heaven below",2232.tei,"",""
F794B,"From us she wandered now a year",1049.tei,"",""
F1279D,"The things we thought that we should do",1707.tei,"",""
F509A,"A curious cloud surprised the sky",708.tei,"",""
F1141A,"A full fed rose on meals of tint",1505.tei,"",""
F945A,"Good to hide and hear 'em hunt!",1263.tei,"",""
F955A,"I sing to use the waiting",1277.tei,"",""
F1145A,"In thy long paradise of light",1511.tei,"",""
F91A,"Some too fragile for winter winds",126.tei,"",""
F1106A,"These are the signs to nature's inns",1459.tei,"",""
F974B,"The largest fire ever known",1303.tei,"",""
F1111A,"He outstripped time with but a bout",1465.tei,"",""
F1716A,"That she forgot me was the least",2385.tei,"",""
F1377A,"A rat surrendered here",1854.tei,"",""
F1275C,"The sea said "Come" to the brook",1698.tei,"(F1275B,The sea said "Come" to the brook,1697.tei)",""
F1722A,"Nature can do no more",2391.tei,"",""
F1751A,"Did life's penurious length",2420.tei,"",""
F1396A,"Of their peculiar light",1897.tei,"",""
F1765A,"The parasol is the umbrella's daughter",2434.tei,"",""
F1739A,"Conferring with myself",2408.tei,"",""
F1255A,"Fortitude incarnate",1666.tei,"",""
F1740A,"'Twas comfort in her dying room",2409.tei,"",""
F1386D,""Faithful to the end" amended",1882.tei,"(F1386C,"Faithful to the end" amended,1881.tei)",""
F1685A,"Of glory not a beam is left",2353.tei,"",""
F1766A,"The waters chased him as he fled",2435.tei,"",""
F1752A,"God is indeed a jealous God",2421.tei,"",""
F1395B,"The butterfly's Numidian gown",1896.tei,"(F1395A,The butterfly's Numidian gown,1895.tei)",""
F1383C,"After all birds have been investigated",1869.tei,"(F1383D,After all birds have been investigated,1870.tei)",""
F1721A,"Down time's quaint stream",2390.tei,"",""
F1369B,"The rat is the concisest tenant",1841.tei,"(F1369C,The rat is the concisest tenant,1842.tei)",""
F1715A,"A word made flesh is seldom",2384.tei,"",""
F1115A,"It is an honorable thought",1470.tei,"",""
F1105A,"Of the heart that goes in and closes the door",1458.tei,"",""
F1559A,"The butterfly upon the sky",2145.tei,"",""
F92A,"Perhaps you'd like to buy a flower",127.tei,"",""
F1588A,"Of death I try to think like this",2192.tei,"",""
F1144A,"Paradise is that old mansion",1510.tei,"",""
F1140A,"The lightning is a yellow fork",1504.tei,"",""
F192B,"'Tis anguish grander than delight",286.tei,"",""
F168A,"Ah, necromancy sweet!",251.tei,"",""
F1416A,"These held their wick above the west",1923.tei,"(F1416B,These held their wick above the west,1924.tei)",""
F170A,"'Tis so much joy! 'Tis so much joy!",253.tei,"",""
F1281A,"Had this one day not been",1710.tei,"",""
F1278C,"So proud she was to die",1704.tei,"","(F1278B,So fain she was to die,1703.tei)"
F1481A,"We knew not that we were to live",2027.tei,"(F1481B,We knew not that we were to live,2028.tei)",""
F1484C,"Before you thought of spring",2033.tei,"",""
F995B,"The missing all prevented me",1328.tei,"",""
F501B,"The robin is the one",694.tei,"",""
F972B,"Not what we did shall be the test",1300.tei,"",""
F1370A,"Unto the whole how add?",1843.tei,"",""
F1723A,"As we pass houses musing slow",2392.tei,"",""
F1717A,"Guest am I to have",2386.tei,"",""
F226B,"I stole them from a bee",333.tei,"(F226A,I stole them from a bee,332.tei)",""
F1768A,"There comes an hour when begging stops",2437.tei,"",""
F1247A,"We like a hairbreadth 'scape",1658.tei,"",""
F1386B,""Faithful to the end" amended",1880.tei,"(F1386A,"Faithful to the end" amended,1879.tei)",""
F1394B,"The long sigh of the frog",1894.tei,"(F1394A,The long sigh of the frog,1893.tei)",""
F1754A,"He was my host - he was my guest",2423.tei,"",""
F819C,"The luxury to apprehend",1102.tei,"",""
F1710A,"I watched her face to see which way",2379.tei,"",""
F1257B,"A sparrow took a slice of twig",1671.tei,"",""
F1709A,"The sun retired to a cloud",2378.tei,"",""
F819D,"The luxury to apprehend",1103.tei,"(F819E,The luxury to apprehend,1104.tei)",""
F1395A,"The butterfly's Numidian gown",1895.tei,"(F1395B,The butterfly's Numidian gown,1896.tei)",""
F1753A,"Had I known that the first was the last",2422.tei,"",""
F1767A,"The words the happy say",2436.tei,"",""
F1386C,""Faithful to the end" amended",1881.tei,"(F1386D,"Faithful to the end" amended,1882.tei)",""
F1248A,"The sun and fog contested",1659.tei,"",""
F1683A,"Why should we hurry - why indeed",2350.tei,"",""
F226A,"I stole them from a bee",332.tei,"(F226B,I stole them from a bee,333.tei)",""
F1379A,"How news must feel when travelling",1856.tei,"",""
F321C,"Blazing in gold and quenching in purple",468.tei,"",""
F1724A,"The event was directly behind him",2393.tei,"",""
F1369C,"The rat is the concisest tenant",1842.tei,"(F1369B,The rat is the concisest tenant,1841.tei)",""
F628A,"'Tis customary as we part",859.tei,"(F628,'Tis customary as we part,860.tei)",""
F501C,"The robin is the one",695.tei,"",""
F996A,"I heard as if I had no ear",1329.tei,"",""
F1582A,"Within thy grave!",2185.tei,"",""
F1135A,"None who saw it ever told it",1498.tei,"",""
F807B,"Away from home are some and I",1077.tei,"","(F807C,Away from home are they and I,1078.tei)"
F164B,"I cant tell you, but you feel it",246.tei,"",""
F1415A,"Trusty as the stars",1922.tei,"",""
F813B,"How well I knew her not",1088.tei,"",""
F189A,"Is it true, dear Sue?",281.tei,"",""
F197B,"Jesus! thy crucifix",295.tei,"",""
F1293A,"The face we choose to miss",1729.tei,"",""
F97A,""Good night," because we must!",134.tei,"",""
F1578A,"Meeting by accident",2181.tei,"",""
F618B,"To love thee year by year",849.tei,"",""
F1120C,"Gratitude is not the mention",1477.tei,"",""
F982A,"If I can stop one heart from breaking",1311.tei,"",""
F20B,"If those I loved were lost",35.tei,"",""
F1728A,"The hills erect their purple heads",2397.tei,"",""
F1714A,"In snow thou comest",2383.tei,"",""
F1375A,"Delight's despair at setting",1852.tei,"",""
F1686A,"The gleam of an heroic act",2354.tei,"",""
F1763A,"The mob within the heart",2432.tei,"",""
F1757A,"Is immortality a bane",2426.tei,"",""
F1758A,"Love can do all but raise the dead",2427.tei,"",""
F1687A,"Beauty crowds me till I die",2355.tei,"",""
F1700A,"Glory is that bright tragic thing",2369.tei,"",""
F1249A,"Had I not seen the sun",1660.tei,"",""
F1713A,"With sweetness unabated",2382.tei,"",""
F628,"'Tis customary as we part",860.tei,"(F628A,'Tis customary as we part,859.tei)",""
F1004A,"There is no silence in the earth so silent",1338.tei,"",""
F618A,"To love thee year by year",848.tei,"",""
F975A,"And this of all my hopes",1304.tei,"",""
F1590A,"Elysium is as far as to",2194.tei,"",""
F1487B,"Belshazzar had a letter",2037.tei,"(F1487C,Belshazzar had a letter,2038.tei)",""
F940B,"So set it's sun in thee",1258.tei,"",""
F1477B,"Oh, honey of an hour",2023.tei,"",""
F1149A,"After a hundred years",1516.tei,"",""
F1598A,"The clock strikes one",2209.tei,"(F1598D,The clock strikes one,2212.tei)",""
F162B,"Some rainbow coming from the fair!",243.tei,"",""
F172A,"At last to be identified!",255.tei,"",""
F1412A,"How know it from a summer's day?",1919.tei,"",""
F804C,"Ample make this bed",1070.tei,"(F804D,Ample make this bed,1071.tei)",""
F1285C,"The most triumphant bird",1716.tei,"",""
F946C,"Dying! To be afraid of thee",1266.tei,"",""
F14B,"As if I asked a common alms",22.tei,"",""
F1386A,""Faithful to the end" amended",1879.tei,"(F1386B,"Faithful to the end" amended,1880.tei)",""
F1725A,"If I could tell how glad I was",2394.tei,"",""
F1262A,"Until the desert knows",1676.tei,"",""
F1750A,"Consulting summer's clock",2419.tei,"",""
F819E,"The luxury to apprehend",1104.tei,"(F819D,The luxury to apprehend,1103.tei)",""
F1756A,"If all the griefs I am to have",2425.tei,"",""
F1762A,"The joy that has no stem nor core",2431.tei,"",""
F1394A,"The long sigh of the frog",1893.tei,"(F1394B,The long sigh of the frog,1894.tei)",""
F1755A,"Her face was in a bed of hair",2424.tei,"",""
F1263A,"Tell all the truth but tell it slant",1677.tei,"",""
F1726A,"The right to perish might be thought",2395.tei,"",""
F1270B,"The show is not the show",1688.tei,"(F1270A,The show is not the show,1687.tei)",""
F1373A,"The spider as an artist",1850.tei,"",""
F1712A,"Witchcraft has not a pedigree",2381.tei,"",""
F978A,"Faith is the pierless bridge",1307.tei,"",""
F1580A,"The pattern of the sun",2183.tei,"",""
