tag_name,average,median,total,franklin_1998,johnson_1955,bianchi_1914,todd_3rd_1896,higginson_todd_2nd_1891,todd_higginson_1890
lb,5.835069444,4,10083,1728,0,0,0,0,0
published,1,1,2,2,0,0,0,0,0
pages,1,1,2,2,0,0,0,0,0
text,1,1,4824,2459,1776,143,165,166,115
variant,1,1,2,2,0,0,0,0,0
publication,1,1,2,2,0,0,0,0,0
lem,5.264693794,1,12809,1907,526,0,0,0,0
title,1,1,4824,2459,1776,143,165,166,115
body,1,1,4824,2459,1776,143,165,166,115
add,2.517525773,1,1221,485,0,0,0,0,0
pb,1.175539568,1,817,695,0,0,0,0,0
em,3.012345679,1,488,162,0,0,0,0,0
del,1.6,1,8,5,0,0,0,0,0
p,2,2,9648,2459,1776,143,165,166,115
sourceDesc,1,1,4824,2459,1776,143,165,166,115
rdg,2.166855846,1,1909,355,526,0,0,0,0
div,1,1,4824,2459,1776,143,165,166,115
publicationStmt,1,1,4824,2459,1776,143,165,166,115
TEI,1,1,4824,2459,1776,143,165,166,115
lg,2.493988391,1,12031,2459,1776,143,165,166,115
u,1,1,1,1,0,0,0,0,0
app,5.264693794,1,12809,1907,526,0,0,0,0
l,10.72305141,8,51728,2459,1776,143,165,166,115
date,1,1,2,2,0,0,0,0,0
fileDesc,1,1,4824,2459,1776,143,165,166,115
teiHeader,1,1,4824,2459,1776,143,165,166,115
titleStmt,1,1,4824,2459,1776,143,165,166,115