tag_name,integrity_score,should_be_high
added_date,100,0
allow_jpgs,11.11,0
author,33.33,1
bookplate_leaf,33.33,0
boxid,11.11,0
call_number,55.56,2
camera,33.33,0
city,11.11,0
collection,88.89,0
collection-library,11.11,0
contributor,77.78,0
copyright-evidence,22.22,1
copyright-evidence-date,22.22,0
copyright-evidence-operator,22.22,0
copyright-region,11.11,0
date_accessioned,22.22,0
description,66.67,0
digitizing_sponsor,66.67,0
donor,11.11,0
external-identifier,55.56,0
foldout_count,11.11,0
formatted_content_notes,11.11,0
full_catalog_record,11.11,0
identifier,100,0
identifier-ark,88.89,0
identifier-ark ark,11.11,0
identifier-bib,11.11,0
invoice,11.11,0
isbn,11.11,0
language,11.11,1
lcamid,11.11,2
notes,22.22,0
ocr,33.33,0
openlibrary_edition,88.89,0
openlibrary_subject,11.11,0
openlibrary_work,11.11,0
page_number_confidence,22.22,0
page-progression,11.11,0
pages,66.67,2
possible_copyright_status,11.11,0
ppi,66.67,0
publication_date,66.67,2
publisher,88.89,0
rcamid,11.11,2
scan_date,55.56,0
scandate,11.11,0
scanner,77.78,0
scanning_center,55.56,0
scanning_centre,22.22,0
scanningcenter,11.11,0
source,22.22,0
source_library,22.22,0
title,77.78,1
topics,44.44,2
usl_hit,11.11,0
volume,11.11,2
worldcat_source_edition,11.11,2
year,22.22,2